study,sample_id,celltype,cells
GSE227691,GSM3891621,Non-classical monocytes,0
GSE227691,GSM3891621,Pericytes,0
GSE227691,GSM3891621,Plasma cells,0
GSE227691,GSM3891621,Smooth muscle cells,0
GSE227691,GSM3891621,Vascular endothelial cells,0
GSE227691,GSM3891622,Activated T cells,0
GSE227691,GSM3891622,Alveolar macrophages,0
GSE227691,GSM3891622,Alveolar type I cells,0
GSE227691,GSM3891622,Alveolar type II cells,0
GSE227691,GSM3891622,Basophils,0
GSE227691,GSM3891622,CD4+ memory T cells,0
GSE227691,GSM3891622,CD8+ effector T cells,0
GSE227691,GSM3891622,Ciliated cells,0
GSE227691,GSM3891622,Classical monocytes,0
GSE227691,GSM3891622,Club cells,0
GSE227691,GSM3891622,Endothelial tip cells,0
GSE227691,GSM3891622,Follicular B cells,0
GSE227691,GSM3891622,Goblet cells,0
GSE227691,GSM3891622,Mast cells,0
GSE227691,GSM3891622,Myofibroblasts,0
GSE227691,GSM3891622,Neutrophils,0
GSE227691,GSM3891622,Non-classical monocytes,0
GSE227691,GSM3891622,Pericytes,0
GSE227691,GSM3891622,Plasma cells,0
GSE227691,GSM3891622,Smooth muscle cells,0
GSE227691,GSM3891622,Vascular endothelial cells,0
GSE227691,GSM3891623,Activated T cells,0
GSE227691,GSM3891623,Alveolar macrophages,0
GSE227691,GSM3891623,Alveolar type I cells,0
GSE227691,GSM3891623,Alveolar type II cells,0
GSE227691,GSM3891623,Basophils,0
GSE227691,GSM3891623,CD4+ memory T cells,0
GSE227691,GSM3891623,CD8+ effector T cells,0
GSE227691,GSM3891623,Ciliated cells,0
GSE227691,GSM3891623,Classical monocytes,0
GSE227691,GSM3891623,Club cells,0
GSE227691,GSM3891623,Endothelial tip cells,0
GSE227691,GSM3891623,Follicular B cells,0
GSE227691,GSM3891623,Goblet cells,0
GSE227691,GSM3891623,Mast cells,0
GSE227691,GSM3891623,Myofibroblasts,0
GSE227691,GSM3891623,Neutrophils,0
GSE227691,GSM3891623,Non-classical monocytes,0
GSE227691,GSM3891623,Pericytes,0
GSE227691,GSM3891623,Plasma cells,0
GSE227691,GSM3891623,Smooth muscle cells,0
GSE227691,GSM3891623,Vascular endothelial cells,0
GSE227691,GSM3891624,Activated T cells,0
GSE227691,GSM3891624,Alveolar macrophages,0
GSE227691,GSM3891624,Alveolar type I cells,0
GSE227691,GSM3891624,Alveolar type II cells,0
GSE227691,GSM3891624,Basophils,0
GSE227691,GSM3891624,CD4+ memory T cells,0
GSE227691,GSM3891624,CD8+ effector T cells,0
GSE227691,GSM3891624,Ciliated cells,0
GSE227691,GSM3891624,Classical monocytes,0
GSE227691,GSM3891624,Club cells,0
GSE227691,GSM3891624,Endothelial tip cells,0
GSE227691,GSM3891624,Follicular B cells,0
GSE227691,GSM3891624,Goblet cells,0
GSE227691,GSM3891624,Mast cells,0
GSE227691,GSM3891624,Myofibroblasts,0
GSE227691,GSM3891624,Neutrophils,0
GSE227691,GSM3891624,Non-classical monocytes,0
GSE227691,GSM3891624,Pericytes,0
GSE227691,GSM3891624,Plasma cells,0
GSE227691,GSM3891624,Smooth muscle cells,0
GSE227691,GSM3891624,Vascular endothelial cells,0
GSE227691,GSM3891625,Activated T cells,0
GSE227691,GSM3891625,Alveolar macrophages,0
GSE227691,GSM3891625,Alveolar type I cells,0
GSE227691,GSM3891625,Alveolar type II cells,0
GSE227691,GSM3891625,Basophils,0
GSE227691,GSM3891625,CD4+ memory T cells,0
GSE227691,GSM3891625,CD8+ effector T cells,0
GSE227691,GSM3891625,Ciliated cells,0
GSE227691,GSM3891625,Classical monocytes,0
GSE227691,GSM3891625,Club cells,0
GSE227691,GSM3891625,Endothelial tip cells,0
GSE227691,GSM3891625,Follicular B cells,0
GSE227691,GSM3891625,Goblet cells,0
GSE227691,GSM3891625,Mast cells,0
GSE227691,GSM3891625,Myofibroblasts,0
GSE227691,GSM3891625,Neutrophils,0
GSE227691,GSM3891625,Non-classical monocytes,0
GSE227691,GSM3891625,Pericytes,0
GSE227691,GSM3891625,Plasma cells,0
GSE227691,GSM3891625,Smooth muscle cells,0
GSE227691,GSM3891625,Vascular endothelial cells,0
GSE227691,GSM4827167,Activated T cells,0
GSE227691,GSM4827167,Alveolar macrophages,0
GSE227691,GSM4827167,Alveolar type I cells,0
GSE227691,GSM4827167,Alveolar type II cells,0
GSE227691,GSM4827167,Basophils,0
GSE227691,GSM4827167,CD4+ memory T cells,0
GSE227691,GSM4827167,CD8+ effector T cells,0
GSE227691,GSM4827167,Ciliated cells,0
GSE227691,GSM4827167,Classical monocytes,0
GSE227691,GSM4827167,Club cells,0
GSE227691,GSM4827167,Endothelial tip cells,0
GSE227691,GSM4827167,Follicular B cells,0
GSE227691,GSM4827167,Goblet cells,0
GSE227691,GSM4827167,Mast cells,0
GSE227691,GSM4827167,Myofibroblasts,0
GSE227691,GSM4827167,Neutrophils,0
GSE227691,GSM4827167,Non-classical monocytes,0
GSE227691,GSM4827167,Pericytes,0
GSE227691,GSM4827167,Plasma cells,0
GSE227691,GSM4827167,Smooth muscle cells,0
GSE227691,GSM4827167,Vascular endothelial cells,0
GSE227691,GSM4827184,Activated T cells,0
GSE227691,GSM4827184,Alveolar macrophages,0
GSE227691,GSM4827184,Alveolar type I cells,0
GSE227691,GSM4827184,Alveolar type II cells,0
GSE227691,GSM4827184,Basophils,0
GSE227691,GSM4827184,CD4+ memory T cells,0
GSE227691,GSM4827184,CD8+ effector T cells,0
GSE227691,GSM4827184,Ciliated cells,0
GSE227691,GSM4827184,Classical monocytes,0
GSE227691,GSM4827184,Club cells,0
GSE227691,GSM4827184,Endothelial tip cells,0
GSE227691,GSM4827184,Follicular B cells,0
GSE227691,GSM4827184,Goblet cells,0
GSE227691,GSM4827184,Mast cells,0
GSE227691,GSM4827184,Myofibroblasts,0
GSE227691,GSM4827184,Neutrophils,0
GSE227691,GSM4827184,Non-classical monocytes,0
GSE227691,GSM4827184,Pericytes,0
GSE227691,GSM4827184,Plasma cells,0
GSE227691,GSM4827184,Smooth muscle cells,0
GSE227691,GSM4827184,Vascular endothelial cells,0
GSE227691,GSM4827185,Activated T cells,0
GSE227691,GSM4827185,Alveolar macrophages,0
GSE227691,GSM4827185,Alveolar type I cells,0
GSE227691,GSM4827185,Alveolar type II cells,0
GSE227691,GSM4827185,Basophils,0
GSE227691,GSM4827185,CD4+ memory T cells,0
GSE227691,GSM4827185,CD8+ effector T cells,0
GSE227691,GSM4827185,Ciliated cells,0
GSE227691,GSM4827185,Classical monocytes,0
GSE227691,GSM4827185,Club cells,0
GSE227691,GSM4827185,Endothelial tip cells,0
GSE227691,GSM4827185,Follicular B cells,0
GSE227691,GSM4827185,Goblet cells,0
GSE227691,GSM4827185,Mast cells,0
GSE227691,GSM4827185,Myofibroblasts,0
GSE227691,GSM4827185,Neutrophils,0
GSE227691,GSM4827185,Non-classical monocytes,0
GSE227691,GSM4827185,Pericytes,0
GSE227691,GSM4827185,Plasma cells,0
GSE227691,GSM4827185,Smooth muscle cells,0
GSE227691,GSM4827185,Vascular endothelial cells,0
GSE227691,GSM4827199,Activated T cells,0
GSE227691,GSM4827199,Alveolar macrophages,0
GSE227691,GSM4827199,Alveolar type I cells,0
GSE227691,GSM4827199,Alveolar type II cells,0
GSE227691,GSM4827199,Basophils,0
GSE227691,GSM4827199,CD4+ memory T cells,0
GSE227691,GSM4827199,CD8+ effector T cells,0
GSE227691,GSM4827199,Ciliated cells,0
GSE227691,GSM4827199,Classical monocytes,0
GSE227691,GSM4827199,Club cells,0
GSE227691,GSM4827199,Endothelial tip cells,0
GSE227691,GSM4827199,Follicular B cells,0
GSE227691,GSM4827199,Goblet cells,0
GSE227691,GSM4827199,Mast cells,0
GSE227691,GSM4827199,Myofibroblasts,0
GSE227691,GSM4827199,Neutrophils,0
GSE227691,GSM4827199,Non-classical monocytes,0
GSE227691,GSM4827199,Pericytes,0
GSE227691,GSM4827199,Plasma cells,0
GSE227691,GSM4827199,Smooth muscle cells,0
GSE227691,GSM4827199,Vascular endothelial cells,0
GSE227691,GSM4827200,Activated T cells,0
GSE227691,GSM4827200,Alveolar macrophages,0
GSE227691,GSM4827200,Alveolar type I cells,0
GSE227691,GSM4827200,Alveolar type II cells,0
GSE227691,GSM4827200,Basophils,0
GSE227691,GSM4827200,CD4+ memory T cells,0
GSE227691,GSM4827200,CD8+ effector T cells,0
GSE227691,GSM4827200,Ciliated cells,0
GSE227691,GSM4827200,Classical monocytes,0
GSE227691,GSM4827200,Club cells,0
GSE227691,GSM4827200,Endothelial tip cells,0
GSE227691,GSM4827200,Follicular B cells,0
GSE227691,GSM4827200,Goblet cells,0
GSE227691,GSM4827200,Mast cells,0
GSE227691,GSM4827200,Myofibroblasts,0
GSE227691,GSM4827200,Neutrophils,0
GSE227691,GSM4827200,Non-classical monocytes,0
GSE227691,GSM4827200,Pericytes,0
GSE227691,GSM4827200,Plasma cells,0
GSE227691,GSM4827200,Smooth muscle cells,0
GSE227691,GSM4827200,Vascular endothelial cells,0
GSE227691,GSM5226574,Activated T cells,0
GSE227691,GSM5226574,Alveolar macrophages,0
GSE227691,GSM5226574,Alveolar type I cells,0
GSE227691,GSM5226574,Alveolar type II cells,0
GSE227691,GSM5226574,Basophils,0
GSE227691,GSM5226574,CD4+ memory T cells,0
GSE227691,GSM5226574,CD8+ effector T cells,0
GSE227691,GSM5226574,Ciliated cells,0
GSE227691,GSM5226574,Classical monocytes,0
GSE227691,GSM5226574,Club cells,0
GSE227691,GSM5226574,Endothelial tip cells,0
GSE227691,GSM5226574,Follicular B cells,0
GSE227691,GSM5226574,Goblet cells,0
GSE227691,GSM5226574,Mast cells,0
GSE227691,GSM5226574,Myofibroblasts,0
GSE227691,GSM5226574,Neutrophils,0
GSE227691,GSM5226574,Non-classical monocytes,0
GSE227691,GSM5226574,Pericytes,0
GSE227691,GSM5226574,Plasma cells,0
GSE227691,GSM5226574,Smooth muscle cells,0
GSE227691,GSM5226574,Vascular endothelial cells,0
GSE227691,GSM5226575,Activated T cells,0
GSE227691,GSM5226575,Alveolar macrophages,0
GSE227691,GSM5226575,Alveolar type I cells,0
GSE227691,GSM5226575,Alveolar type II cells,0
GSE227691,GSM5226575,Basophils,0
GSE227691,GSM5226575,CD4+ memory T cells,0
GSE227691,GSM5226575,CD8+ effector T cells,0
GSE227691,GSM5226575,Ciliated cells,0
GSE227691,GSM5226575,Classical monocytes,0
GSE227691,GSM5226575,Club cells,0
GSE227691,GSM5226575,Endothelial tip cells,0
GSE227691,GSM5226575,Follicular B cells,0
GSE227691,GSM5226575,Goblet cells,0
GSE227691,GSM5226575,Mast cells,0
GSE227691,GSM5226575,Myofibroblasts,0
GSE227691,GSM5226575,Neutrophils,0
GSE227691,GSM5226575,Non-classical monocytes,0
GSE227691,GSM5226575,Pericytes,0
GSE227691,GSM5226575,Plasma cells,0
GSE227691,GSM5226575,Smooth muscle cells,0
GSE227691,GSM5226575,Vascular endothelial cells,0
GSE227691,GSM5226576,Activated T cells,0
GSE227691,GSM5226576,Alveolar macrophages,0
GSE227691,GSM5226576,Alveolar type I cells,0
GSE227691,GSM5226576,Alveolar type II cells,0
GSE227691,GSM5226576,Basophils,0
GSE227691,GSM5226576,CD4+ memory T cells,0
GSE227691,GSM5226576,CD8+ effector T cells,0
GSE227691,GSM5226576,Ciliated cells,0
GSE227691,GSM5226576,Classical monocytes,0
GSE227691,GSM5226576,Club cells,0
GSE227691,GSM5226576,Endothelial tip cells,0
GSE227691,GSM5226576,Follicular B cells,0
GSE227691,GSM5226576,Goblet cells,0
GSE227691,GSM5226576,Mast cells,0
GSE227691,GSM5226576,Myofibroblasts,0
GSE227691,GSM5226576,Neutrophils,0
GSE227691,GSM5226576,Non-classical monocytes,0
GSE227691,GSM5226576,Pericytes,0
GSE227691,GSM5226576,Plasma cells,0
GSE227691,GSM5226576,Smooth muscle cells,0
GSE227691,GSM5226576,Vascular endothelial cells,0
GSE227691,GSM5226577,Activated T cells,0
GSE227691,GSM5226577,Alveolar macrophages,0
GSE227691,GSM5226577,Alveolar type I cells,0
GSE227691,GSM5226577,Alveolar type II cells,0
GSE227691,GSM5226577,Basophils,0
GSE227691,GSM5226577,CD4+ memory T cells,0
GSE227691,GSM5226577,CD8+ effector T cells,0
GSE227691,GSM5226577,Ciliated cells,0
GSE227691,GSM5226577,Classical monocytes,0
GSE227691,GSM5226577,Club cells,0
GSE227691,GSM5226577,Endothelial tip cells,0
GSE227691,GSM5226577,Follicular B cells,0
GSE227691,GSM5226577,Goblet cells,0
GSE227691,GSM5226577,Mast cells,0
GSE227691,GSM5226577,Myofibroblasts,0
GSE227691,GSM5226577,Neutrophils,0
GSE227691,GSM5226577,Non-classical monocytes,0
GSE227691,GSM5226577,Pericytes,0
GSE227691,GSM5226577,Plasma cells,0
GSE227691,GSM5226577,Smooth muscle cells,0
GSE227691,GSM5226577,Vascular endothelial cells,0
GSE227691,GSM5226578,Activated T cells,0
GSE227691,GSM5226578,Alveolar macrophages,0
GSE227691,GSM5226578,Alveolar type I cells,0
GSE227691,GSM5226578,Alveolar type II cells,0
GSE227691,GSM5226578,Basophils,0
GSE227691,GSM5226578,CD4+ memory T cells,0
GSE227691,GSM5226578,CD8+ effector T cells,0
GSE227691,GSM5226578,Ciliated cells,0
GSE227691,GSM5226578,Classical monocytes,0
GSE227691,GSM5226578,Club cells,0
GSE227691,GSM5226578,Endothelial tip cells,0
GSE227691,GSM5226578,Follicular B cells,0
GSE227691,GSM5226578,Goblet cells,0
GSE227691,GSM5226578,Mast cells,0
GSE227691,GSM5226578,Myofibroblasts,0
GSE227691,GSM5226578,Neutrophils,0
GSE227691,GSM5226578,Non-classical monocytes,0
GSE227691,GSM5226578,Pericytes,0
GSE227691,GSM5226578,Plasma cells,0
GSE227691,GSM5226578,Smooth muscle cells,0
GSE227691,GSM5226578,Vascular endothelial cells,0
GSE227691,GSM5226579,Activated T cells,0
GSE227691,GSM5226579,Alveolar macrophages,0
GSE227691,GSM5226579,Alveolar type I cells,0
GSE227691,GSM5226579,Alveolar type II cells,0
GSE227691,GSM5226579,Basophils,0
GSE227691,GSM5226579,CD4+ memory T cells,0
GSE227691,GSM5226579,CD8+ effector T cells,0
GSE227691,GSM5226579,Ciliated cells,0
GSE227691,GSM5226579,Classical monocytes,0
GSE227691,GSM5226579,Club cells,0
GSE227691,GSM5226579,Endothelial tip cells,0
GSE227691,GSM5226579,Follicular B cells,0
GSE227691,GSM5226579,Goblet cells,0
GSE227691,GSM5226579,Mast cells,0
GSE227691,GSM5226579,Myofibroblasts,0
GSE227691,GSM5226579,Neutrophils,0
GSE227691,GSM5226579,Non-classical monocytes,0
GSE227691,GSM5226579,Pericytes,0
GSE227691,GSM5226579,Plasma cells,0
GSE227691,GSM5226579,Smooth muscle cells,0
GSE227691,GSM5226579,Vascular endothelial cells,0
GSE227691,GSM5226580,Activated T cells,0
GSE227691,GSM5226580,Alveolar macrophages,0
GSE227691,GSM5226580,Alveolar type I cells,0
GSE227691,GSM5226580,Alveolar type II cells,0
GSE227691,GSM5226580,Basophils,0
GSE227691,GSM5226580,CD4+ memory T cells,0
GSE227691,GSM5226580,CD8+ effector T cells,0
GSE227691,GSM5226580,Ciliated cells,0
GSE227691,GSM5226580,Classical monocytes,0
GSE227691,GSM5226580,Club cells,0
GSE227691,GSM5226580,Endothelial tip cells,0
GSE227691,GSM5226580,Follicular B cells,0
GSE227691,GSM5226580,Goblet cells,0
GSE227691,GSM5226580,Mast cells,0
GSE227691,GSM5226580,Myofibroblasts,0
GSE227691,GSM5226580,Neutrophils,0
GSE227691,GSM5226580,Non-classical monocytes,0
GSE227691,GSM5226580,Pericytes,0
GSE227691,GSM5226580,Plasma cells,0
GSE227691,GSM5226580,Smooth muscle cells,0
GSE227691,GSM5226580,Vascular endothelial cells,0
GSE227691,GSM5282543,Activated T cells,0
GSE227691,GSM5282543,Alveolar macrophages,0
GSE227691,GSM5282543,Alveolar type I cells,0
GSE227691,GSM5282543,Alveolar type II cells,0
GSE227691,GSM5282543,Basophils,0
GSE227691,GSM5282543,CD4+ memory T cells,0
GSE227691,GSM5282543,CD8+ effector T cells,0
GSE227691,GSM5282543,Ciliated cells,0
GSE227691,GSM5282543,Classical monocytes,0
GSE227691,GSM5282543,Club cells,0
GSE227691,GSM5282543,Endothelial tip cells,0
GSE227691,GSM5282543,Follicular B cells,0
GSE227691,GSM5282543,Goblet cells,0
GSE227691,GSM5282543,Mast cells,0
GSE227691,GSM5282543,Myofibroblasts,0
GSE227691,GSM5282543,Neutrophils,0
GSE227691,GSM5282543,Non-classical monocytes,0
GSE227691,GSM5282543,Pericytes,0
GSE227691,GSM5282543,Plasma cells,0
GSE227691,GSM5282543,Smooth muscle cells,0
GSE227691,GSM5282543,Vascular endothelial cells,0
GSE227691,GSM5282544,Activated T cells,0
GSE227691,GSM5282544,Alveolar macrophages,0
GSE227691,GSM5282544,Alveolar type I cells,0
GSE227691,GSM5282544,Alveolar type II cells,0
GSE227691,GSM5282544,Basophils,0
GSE227691,GSM5282544,CD4+ memory T cells,0
GSE227691,GSM5282544,CD8+ effector T cells,0
GSE227691,GSM5282544,Ciliated cells,0
GSE227691,GSM5282544,Classical monocytes,0
GSE227691,GSM5282544,Club cells,0
GSE227691,GSM5282544,Endothelial tip cells,0
GSE227691,GSM5282544,Follicular B cells,0
GSE227691,GSM5282544,Goblet cells,0
GSE227691,GSM5282544,Mast cells,0
GSE227691,GSM5282544,Myofibroblasts,0
GSE227691,GSM5282544,Neutrophils,0
GSE227691,GSM5282544,Non-classical monocytes,0
GSE227691,GSM5282544,Pericytes,0
GSE227691,GSM5282544,Plasma cells,0
GSE227691,GSM5282544,Smooth muscle cells,0
GSE227691,GSM5282544,Vascular endothelial cells,0
GSE227691,GSM5282545,Activated T cells,0
GSE227691,GSM5282545,Alveolar macrophages,0
GSE227691,GSM5282545,Alveolar type I cells,0
GSE227691,GSM5282545,Alveolar type II cells,0
GSE227691,GSM5282545,Basophils,0
GSE227691,GSM5282545,CD4+ memory T cells,0
GSE227691,GSM5282545,CD8+ effector T cells,0
GSE227691,GSM5282545,Ciliated cells,0
GSE227691,GSM5282545,Classical monocytes,0
GSE227691,GSM5282545,Club cells,0
GSE227691,GSM5282545,Endothelial tip cells,0
GSE227691,GSM5282545,Follicular B cells,0
GSE227691,GSM5282545,Goblet cells,0
GSE227691,GSM5282545,Mast cells,0
GSE227691,GSM5282545,Myofibroblasts,0
GSE227691,GSM5282545,Neutrophils,0
GSE227691,GSM5282545,Non-classical monocytes,0
GSE227691,GSM5282545,Pericytes,0
GSE227691,GSM5282545,Plasma cells,0
GSE227691,GSM5282545,Smooth muscle cells,0
GSE227691,GSM5282545,Vascular endothelial cells,0
GSE227691,GSM5282546,Activated T cells,0
GSE227691,GSM5282546,Alveolar macrophages,0
GSE227691,GSM5282546,Alveolar type I cells,0
GSE227691,GSM5282546,Alveolar type II cells,0
GSE227691,GSM5282546,Basophils,0
GSE227691,GSM5282546,CD4+ memory T cells,0
GSE227691,GSM5282546,CD8+ effector T cells,0
GSE227691,GSM5282546,Ciliated cells,0
GSE227691,GSM5282546,Classical monocytes,0
GSE227691,GSM5282546,Club cells,0
GSE227691,GSM5282546,Endothelial tip cells,0
GSE227691,GSM5282546,Follicular B cells,0
GSE227691,GSM5282546,Goblet cells,0
GSE227691,GSM5282546,Mast cells,0
GSE227691,GSM5282546,Myofibroblasts,0
GSE227691,GSM5282546,Neutrophils,0
GSE227691,GSM5282546,Non-classical monocytes,0
GSE227691,GSM5282546,Pericytes,0
GSE227691,GSM5282546,Plasma cells,0
GSE227691,GSM5282546,Smooth muscle cells,0
GSE227691,GSM5282546,Vascular endothelial cells,0
GSE227691,GSM5282547,Activated T cells,0
GSE227691,GSM5282547,Alveolar macrophages,0
GSE227691,GSM5282547,Alveolar type I cells,0
GSE227691,GSM5282547,Alveolar type II cells,0
GSE227691,GSM5282547,Basophils,0
GSE227691,GSM5282547,CD4+ memory T cells,0
GSE227691,GSM5282547,CD8+ effector T cells,0
GSE227691,GSM5282547,Ciliated cells,0
GSE227691,GSM5282547,Classical monocytes,0
GSE227691,GSM5282547,Club cells,0
GSE227691,GSM5282547,Endothelial tip cells,0
GSE227691,GSM5282547,Follicular B cells,0
GSE227691,GSM5282547,Goblet cells,0
GSE227691,GSM5282547,Mast cells,0
GSE227691,GSM5282547,Myofibroblasts,0
GSE227691,GSM5282547,Neutrophils,0
GSE227691,GSM5282547,Non-classical monocytes,0
GSE227691,GSM5282547,Pericytes,0
GSE227691,GSM5282547,Plasma cells,0
GSE227691,GSM5282547,Smooth muscle cells,0
GSE227691,GSM5282547,Vascular endothelial cells,0
GSE227691,GSM5282548,Activated T cells,0
GSE227691,GSM5282548,Alveolar macrophages,0
GSE227691,GSM5282548,Alveolar type I cells,0
GSE227691,GSM5282548,Alveolar type II cells,0
GSE227691,GSM5282548,Basophils,0
GSE227691,GSM5282548,CD4+ memory T cells,0
GSE227691,GSM5282548,CD8+ effector T cells,0
GSE227691,GSM5282548,Ciliated cells,0
GSE227691,GSM5282548,Classical monocytes,0
GSE227691,GSM5282548,Club cells,0
GSE227691,GSM5282548,Endothelial tip cells,0
GSE227691,GSM5282548,Follicular B cells,0
GSE227691,GSM5282548,Goblet cells,0
GSE227691,GSM5282548,Mast cells,0
GSE227691,GSM5282548,Myofibroblasts,0
GSE227691,GSM5282548,Neutrophils,0
GSE227691,GSM5282548,Non-classical monocytes,0
GSE227691,GSM5282548,Pericytes,0
GSE227691,GSM5282548,Plasma cells,0
GSE227691,GSM5282548,Smooth muscle cells,0
GSE227691,GSM5282548,Vascular endothelial cells,0
GSE227691,GSM7105661,Activated T cells,444
GSE227691,GSM7105661,Alveolar macrophages,2
GSE227691,GSM7105661,Alveolar type I cells,21
GSE227691,GSM7105661,Alveolar type II cells,6
GSE227691,GSM7105661,Basophils,1
GSE227691,GSM7105661,CD4+ memory T cells,9
GSE227691,GSM7105661,CD8+ effector T cells,4506
GSE227691,GSM7105661,Ciliated cells,16
GSE227691,GSM7105661,Classical monocytes,3
GSE227691,GSM7105661,Club cells,49
GSE227691,GSM7105661,Endothelial tip cells,136
GSE227691,GSM7105661,Follicular B cells,0
GSE227691,GSM7105661,Goblet cells,0
GSE227691,GSM7105661,Mast cells,1
GSE227691,GSM7105661,Myofibroblasts,1
GSE227691,GSM7105661,Neutrophils,2
GSE227691,GSM7105661,Non-classical monocytes,887
GSE227691,GSM7105661,Pericytes,0
GSE227691,GSM7105661,Plasma cells,7
GSE227691,GSM7105661,Smooth muscle cells,0
GSE227691,GSM7105661,Vascular endothelial cells,1
GSE227691,GSM7105662,Activated T cells,142
GSE227691,GSM7105662,Alveolar macrophages,3
GSE227691,GSM7105662,Alveolar type I cells,2
GSE227691,GSM7105662,Alveolar type II cells,12
GSE227691,GSM7105662,Basophils,0
GSE227691,GSM7105662,CD4+ memory T cells,3
GSE227691,GSM7105662,CD8+ effector T cells,833
GSE227691,GSM7105662,Ciliated cells,69
GSE227691,GSM7105662,Classical monocytes,2
GSE227691,GSM7105662,Club cells,96
GSE227691,GSM7105662,Endothelial tip cells,28
GSE227691,GSM7105662,Follicular B cells,0
GSE227691,GSM7105662,Goblet cells,0
GSE227691,GSM7105662,Mast cells,0
GSE227691,GSM7105662,Myofibroblasts,5
GSE227691,GSM7105662,Neutrophils,0
GSE227691,GSM7105662,Non-classical monocytes,624
GSE227691,GSM7105662,Pericytes,1
GSE227691,GSM7105662,Plasma cells,5
GSE227691,GSM7105662,Smooth muscle cells,0
GSE227691,GSM7105662,Vascular endothelial cells,8
GSE227691,GSM7105663,Activated T cells,246
GSE227691,GSM7105663,Alveolar macrophages,4
GSE227691,GSM7105663,Alveolar type I cells,2
GSE227691,GSM7105663,Alveolar type II cells,23
GSE227691,GSM7105663,Basophils,0
GSE227691,GSM7105663,CD4+ memory T cells,12
GSE227691,GSM7105663,CD8+ effector T cells,1543
GSE227691,GSM7105663,Ciliated cells,2
GSE227691,GSM7105663,Classical monocytes,6
GSE227691,GSM7105663,Club cells,39
GSE227691,GSM7105663,Endothelial tip cells,86
GSE227691,GSM7105663,Follicular B cells,1
GSE227691,GSM7105663,Goblet cells,0
GSE227691,GSM7105663,Mast cells,0
GSE227691,GSM7105663,Myofibroblasts,0
GSE227691,GSM7105663,Neutrophils,0
GSE227691,GSM7105663,Non-classical monocytes,192
GSE227691,GSM7105663,Pericytes,0
GSE227691,GSM7105663,Plasma cells,3
GSE227691,GSM7105663,Smooth muscle cells,0
GSE227691,GSM7105663,Vascular endothelial cells,4
GSE227691,GSM7105664,Activated T cells,107
GSE227691,GSM7105664,Alveolar macrophages,6
GSE227691,GSM7105664,Alveolar type I cells,10
GSE227691,GSM7105664,Alveolar type II cells,68
GSE227691,GSM7105664,Basophils,2
GSE227691,GSM7105664,CD4+ memory T cells,15
GSE227691,GSM7105664,CD8+ effector T cells,3784
GSE227691,GSM7105664,Ciliated cells,91
GSE227691,GSM7105664,Classical monocytes,5
GSE227691,GSM7105664,Club cells,155
GSE227691,GSM7105664,Endothelial tip cells,75
GSE227691,GSM7105664,Follicular B cells,0
GSE227691,GSM7105664,Goblet cells,0
GSE227691,GSM7105664,Mast cells,2
GSE227691,GSM7105664,Myofibroblasts,1
GSE227691,GSM7105664,Neutrophils,1
GSE227691,GSM7105664,Non-classical monocytes,1001
GSE227691,GSM7105664,Pericytes,0
GSE227691,GSM7105664,Plasma cells,9
GSE227691,GSM7105664,Smooth muscle cells,0
GSE227691,GSM7105664,Vascular endothelial cells,1
